branch_code,branch_name,product_code,product_name,category,unit_cost,unit_price,opening_stock,purchases,sales,adjustments,closing_stock,date,upload_timestamp,upload_batch_id
RUH,Riyadh Main,PROD001,Laptop Pro 15,Electronics,2500.00,3500.00,50,20,35,0,35,2025-01-01,2025-01-01 10:00:00,BATCH001
RUH,Riyadh Main,PROD002,Wireless Mouse,Electronics,45.00,89.00,200,100,180,-5,115,2025-01-01,2025-01-01 10:00:00,BATCH001
RUH,Riyadh Main,PROD003,Office Chair,Furniture,450.00,899.00,30,15,20,0,25,2025-01-01,2025-01-01 10:00:00,BATCH001
RUH,Riyadh Main,PROD004,Desk Lamp,Furniture,80.00,149.00,100,30,70,0,60,2025-01-01,2025-01-01 10:00:00,BATCH001
RUH,Riyadh Main,PROD005,Green Tea 100pk,Food,25.00,55.00,500,200,450,-10,240,2025-01-01,2025-01-01 10:00:00,BATCH001
RUH,Riyadh Main,PROD006,Rice 5kg,Food,18.00,39.00,300,150,280,0,170,2025-01-01,2025-01-01 10:00:00,BATCH001
RUH,Riyadh Main,PROD007,Bluetooth Speaker,Electronics,120.00,249.00,60,25,45,0,40,2025-01-01,2025-01-01 10:00:00,BATCH001
RUH,Riyadh Main,PROD008,Notebook 200pg,Stationery,8.00,19.00,400,100,350,0,150,2025-01-01,2025-01-01 10:00:00,BATCH001
RUH,Riyadh Main,PROD009,Printer Ink Black,Electronics,85.00,169.00,150,50,120,0,80,2025-01-01,2025-01-01 10:00:00,BATCH001
RUH,Riyadh Main,PROD010,Desk Organizer,Stationery,22.00,49.00,120,40,80,0,80,2025-01-01,2025-01-01 10:00:00,BATCH001
JED,Jeddah Branch,PROD001,Laptop Pro 15,Electronics,2500.00,3500.00,20,10,25,0,5,2025-01-01,2025-01-01 10:00:00,BATCH001
JED,Jeddah Branch,PROD002,Wireless Mouse,Electronics,45.00,89.00,80,40,90,-2,28,2025-01-01,2025-01-01 10:00:00,BATCH001
JED,Jeddah Branch,PROD003,Office Chair,Furniture,450.00,899.00,15,8,18,0,5,2025-01-01,2025-01-01 10:00:00,BATCH001
JED,Jeddah Branch,PROD005,Green Tea 100pk,Food,25.00,55.00,200,80,190,0,90,2025-01-01,2025-01-01 10:00:00,BATCH001
JED,Jeddah Branch,PROD006,Rice 5kg,Food,18.00,39.00,150,60,130,0,80,2025-01-01,2025-01-01 10:00:00,BATCH001
JED,Jeddah Branch,PROD007,Bluetooth Speaker,Electronics,120.00,249.00,30,15,20,0,25,2025-01-01,2025-01-01 10:00:00,BATCH001
JED,Jeddah Branch,PROD009,Printer Ink Black,Electronics,85.00,169.00,60,20,55,0,25,2025-01-01,2025-01-01 10:00:00,BATCH001
JED,Jeddah Branch,PROD010,Desk Organizer,Stationery,22.00,49.00,50,20,45,0,25,2025-01-01,2025-01-01 10:00:00,BATCH001
DAM,Dammam Branch,PROD001,Laptop Pro 15,Electronics,2500.00,3500.00,10,5,8,0,7,2025-01-01,2025-01-01 10:00:00,BATCH001
DAM,Dammam Branch,PROD002,Wireless Mouse,Electronics,45.00,89.00,60,30,65,-1,24,2025-01-01,2025-01-01 10:00:00,BATCH001
DAM,Dammam Branch,PROD004,Desk Lamp,Furniture,80.00,149.00,40,15,30,0,25,2025-01-01,2025-01-01 10:00:00,BATCH001
DAM,Dammam Branch,PROD005,Green Tea 100pk,Food,25.00,55.00,150,60,140,0,70,2025-01-01,2025-01-01 10:00:00,BATCH001
DAM,Dammam Branch,PROD006,Rice 5kg,Food,18.00,39.00,100,40,90,0,50,2025-01-01,2025-01-01 10:00:00,BATCH001
DAM,Dammam Branch,PROD008,Notebook 200pg,Stationery,8.00,19.00,200,80,180,0,100,2025-01-01,2025-01-01 10:00:00,BATCH001
DAM,Dammam Branch,PROD010,Desk Organizer,Stationery,22.00,49.00,40,15,30,0,25,2025-01-01,2025-01-01 10:00:00,BATCH001
